user_id,user_interest_summary,scene,data_type
202972,"喜欢：用户偏好旅行出行品类（如火车），关键词包括推广、日常和试用，品牌如B站、飞猪和杰士邦，使用场景涉及日常推广活动（如优惠券）和产品免费试用（如个人护理）。
不喜欢：用户不喜欢出行券包类商品，特别是高德品牌相关的优惠券（如5元券），与点击行为中偏好特定出行方式（火车）和品牌（飞猪）相反。",4,complete
1869035,"喜欢：该用户偏好食品品类，特别是零食如肉松饼、蛋糕（基于点击商品""付邮购千丝肉松饼""和搜索关键词""甜蛋糕""），品牌包括千丝（从点击商品实体词），关键词涉及付邮购和甜点相关（如""付邮购""实体词和""小蛋糕""搜索词），使用场景集中于在线购物和超市消费（交易行为如""购物|ACTIVITY""和""超市|INSTITUTION""）。

不喜欢：该用户不感兴趣于家居用品（如凉拖鞋，从未点击商品""防滑踩屎感凉拖鞋""）、回收服务（如""爱裹旧衣服回收""）、出行服务（如""滴滴出行""）、洗衣产品（如""大桶洗衣液""）和消费券相关（如""消费券""实体词），这些特征与点击食品行为相反。",4,complete
437318,"喜欢：偏好出行服务（如打车、火车票预订）和快餐餐饮品类，关键词包括滴滴出行、花小猪打车、飞猪旅行、麦当劳、火车、酒店和优惠券，品牌涉及滴滴出行、花小猪打车、飞猪、麦当劳、菜鸟裹裹，使用场景为日常通勤、餐饮消费和旅行规划。

不喜欢：基于未点击商品与点击行为相反的特征，不喜欢民宿预订（如飞猪民宿券）、其他打车品牌（如哈啰打车）、麦当劳甜点（如圆筒买一送一）以及家居用品（如洗衣液）。",4,complete
812474,"### 用户兴趣偏好总结（场景4）
喜欢：用户偏好出行交通品类，特别是火车票相关优惠；关键词包括消费券、立减、代金券、推广券；品牌涉及滴滴出行、纵航火车票、同程火车票、飞猪旅行；使用场景为购买火车票时使用优惠券进行消费减免。

不喜欢：用户不喜欢汽车票优惠、门票、酒店红包、快递服务、日常用品（如抽纸）、打车券、电影票等特征，这些与点击行为相反，反映了对非火车票出行、娱乐及生活服务的低兴趣。",4,complete
945196,"### 用户兴趣偏好总结（场景4）
喜欢：用户偏好品类为优惠券（如话费券、满减券）和电子产品（如iphone系列），关键词包括金融投资相关术语（如基金、期货、花呗），品牌涉及苹果、云租机及三体（可能指科幻IP），使用场景集中在消费优惠（如话费充值）和租赁服务（如设备租赁），反映出对金融理财和科技产品的兴趣。

不喜欢：用户不喜欢品类为日用品（如牙膏、拖鞋）和食品饮料（如中可），关键词如益生菌、宇航员及付邮购，品牌包括乐美优品、众鼎和麦当劳，使用场景涉及个人护理和家居生活，基于未点击商品与点击行为相反的特征（如点击优惠券却未点击同类话费券的特定形式）。",4,complete
336860,"喜欢：用户偏好出行服务（如曹操出行打车）和支付服务（如支付宝），偏好品类包括交通出行和数字支付，关键词涉及支付宝、曹操出行、打车，品牌如支付宝，使用场景涵盖日常出行、外卖点餐（基于服务使用实体如""外卖点餐""、""送餐""和搜索关键词如""滴滴出行""、""同城""）。

不喜欢：用户对避孕套产品（如杰士邦品牌）、试用活动（0元付邮）和花小猪打车品牌不感兴趣，基于未点击商品中避孕、试用、花小猪打车等实体词与点击行为相反的特征。",4,complete
1963370,"喜欢：用户偏好日常用品品类（如纸巾），出行服务（如曹操出行），金融支付（支付宝和消费券）；关键词包括付邮领和支付宝专享；品牌如舒可乐和支付宝；使用场景为在线优惠获取（如付邮领纸巾）和移动支付（如出行服务）。

不喜欢：用户不喜欢快餐品类（如汉堡王相关商品），关键词如外送和活动餐；品牌如汉堡王；使用场景为外送快餐（如椒香鸡腿和4件套）。",4,complete
78272,"喜欢：用户偏好零食品类如瓜子（特别是五香味），日用品如纸巾（软抽纸），品牌包括洽洽和舒可乐，关键词涉及消费券、付邮领和繁星活动，使用场景为日常消费、优惠获取和官方店铺购买。

不喜欢：用户不喜欢话费券相关产品，如通信服务券（基于未点击行为中话费券实体与点击零食和日用品特征相反）。",4,complete
309076,"喜欢：用户偏好出行服务（如滴滴出行、高德打车）的高价值优惠券包（如100元券包或立减5元），关键词包括优惠券、消费券、立减；品牌倾向滴滴出行、高德打车、屈臣氏（关注头发护理、口腔产品等优惠）和麦当劳（麦辣鸡腿汉堡）；品类涵盖打车出行、餐饮快餐、零售购物和电影娱乐；使用场景涉及日常通勤（顺风车、打车）、线上购物（屈臣氏优惠）、餐饮消费（麦当劳组合）和快递服务（上门寄件）。

不喜欢：用户不喜欢较小优惠的出行券（如立减3元券包），不偏好古茗茶饮等非核心品牌；对麦当劳的小吃（薯条、菠萝派）和滴滴代驾/租车服务兴趣低；特征上回避低价值优惠（如立减3元 vs 点击的立减5元）、非偏好餐饮（薯条 vs 汉堡）和特定服务（代驾 vs 打车）。",4,complete
1613608,"喜欢：用户偏好茶饮品类（如古茗品牌），关键词涉及外卖和娱乐（如电影票），使用场景主要为外卖点餐和休闲活动，体现对餐饮优惠和品牌茶饮的强烈兴趣。

不喜欢：用户不喜欢日用品（如抽纸）、家居用品（如冰川杯、帆布袋）、饮品（如矿泉水）及交通服务消费券（如滴滴出行、哈啰顺风车），这些特征与点击行为中的茶饮和娱乐形成鲜明对比。",4,complete
