user_id,user_interest_summary,scene,data_type
1042850,"喜欢：用户偏好理财、基金和债券相关主题，尤其关注债券基金、收益分析和亏损探讨；基于点击商品（如""债券基金的特点""实体词""债券基金|理财,债券,收益,亏损""）、交易行为（如""支付宝""、""余额宝""、""理财""、""基金""）、服务使用（如""理财直播""、""财富直播""、""银行理财""）和搜索关键词（如""银华基金""、""理财直播""、""月月赚""），其兴趣集中在金融投资品类，使用场景包括在线理财直播、支付宝平台服务，偏好品牌如支付宝和银行相关产品。

不喜欢：用户不感兴趣于与恋爱、节日（如七夕）、房地产信贷政策、基建投资相关的理财内容；基于未点击商品（如""七夕专场直播""实体词""专场直播,买基金,恋爱,七夕""和""优化房地产信贷政策""实体词""优化,周末,信用贷,房地产""），这些特征与点击行为（债券基金亏损分析）相反，显示对泛化稳健理财讨论、非债券基金主题直播（如房地产或基建）缺乏兴趣。",0,complete
152934,"喜欢：用户偏好支付宝平台上的健身服务，特别是乐动力的累计达标活动（如点击的“累计达标7天”商品），以及对年夜饭套餐的兴趣，反映出对健康生活方式和节日餐饮的倾向，支持数据包括服务使用中的乐动力、健身服务和交易行为中的支付宝实体。

不喜欢：用户对DIY手工制作（如未点击的彩虹鱼挂饰）、免费场馆开放（如成都乐动力体育中心免费活动）、社交评论互动（如评论晒中秋菜单）和赚钱知识内容（如赚不到钱的提示）不感兴趣，这些特征与点击行为中付费健身和具体服务形成鲜明对比。",0,complete
1210585,"喜欢：偏好品类为数字公仔和壁纸，关键词如""浮瓜沉李""，品牌未在点击行为中明确体现（但交易行为涉及南极人等品牌），使用场景为数字装饰（如手机或电脑桌面），结合服务使用（如蚂蚁庄园、芭芭农场）体现对数字内容的兴趣。

不喜欢：基于未点击商品（海洋主题壁纸）与点击行为相反的特征，不喜欢海洋主题的壁纸内容，具体表现为对""海洋""关键词的回避，而偏好其他主题如""浮瓜沉李""。",0,complete
1426163,"喜欢：用户偏好现金奖励和支付相关的活动，如到店付款攒现金，涉及偏好品类包括支付服务（如聚合支付、条码支付）、日常消费（如食品、出行），关键词如现金、付款，品牌如支付宝（从服务使用中体现），使用场景如到店支付和日常交易。

不喜欢：用户不喜欢包含支付宝品牌过度强调、时间限制（如""今天""、""第一""）或具体福利描述（如""得到了3元""）的促销内容，基于未点击商品中与点击行为相反的实体特征。",0,complete
1398625,"### 用户兴趣偏好总结（场景0）
喜欢：该用户偏好消防相关的品类，如安全知识和教育内容；关键词包括消防、消防员、比赛和学习平台；品牌方面倾向公益和教育类服务（如支付宝生态中的蚂蚁森林、消防学习平台）；使用场景主要为在线学习、娱乐和教育互动（如消防课程、趣味比赛）。  
不喜欢：该用户不喜欢灾难和救援相关的负面内容，如暴雨、瞬间事件和紧急救援主题，与点击的积极、趣味性消防行为形成鲜明对比。  

（字数：148字）",0,complete
462922,"喜欢：偏好金融投资品类（如基金、股票），关键词包括央行、多元金融概念和理财，品牌涉及国信证券（从搜索关键词）和饿了么（从交易行为），使用场景为投资理财、阅读金融新闻及日常消费（如外卖订单和食品购买）。

不喜欢：基于未点击商品特征，不喜欢环保、地产、消费电子等非金融品类，以及理性投资、市场探索和行业周期等关键词，避免节能环保概念、券商活跃或消费电子上新等主题。",0,complete
1885160,"喜欢：偏好游戏交易和在线服务品类，关键词如报复、买家、快递、收入、基金、外卖和顺风车，品牌如交易猫、苹果、美团、饿了么、滴滴出行和哈啰出行，使用场景包括在线交易平台、出行应用、外卖服务和理财管理。
不喜欢：基于未点击商品中与点击行为相反的特征，不喜欢虚构奇幻内容，如仙侠故事或游戏剧情元素。",0,complete
115206,"喜欢：用户偏好手机租赁品类，关键词包括免押金、分期购买、0首付和支付宝信用分，品牌涉及支付宝平台，使用场景为通过信用分免押金租赁手机用于个人设备升级或消费。

不喜欢：用户不喜欢租赁服务中附加的视频内容、情感故事（如分手或浪漫主题）、特定品牌推广（如iPhone或OPPO）或无关主题（如安全下车或电子功德），这些特征与点击行为中的直接免押金分期租赁相反。",0,complete
1454952,"喜欢：用户偏好金融福利品类，如红包、福利金和理财相关服务，关键词包括福利金、当钱花和红包，品牌偏好支付宝（从交易和服务使用中高频出现），使用场景为日常消费、省钱及通过任务赚取福利（如做任务、领现金红包）。

不喜欢：用户不喜欢花呗金、消费券、赚钱红包、手机话费充值及折扣优惠（基于未点击商品中与点击的福利金相反特征，如花呗金和消费券替代福利金，以及赚钱红包和手机费相关优惠）。",0,complete
734220,"喜欢：用户偏好支付宝平台的夏季现金红包活动，涉及直接领取奖励（如""领现金红包""）、福利关键词（如支付宝、夏天、夏日），品牌支付宝突出，使用场景为线上促销参与（如夏季扭扭节），偏好品类包括支付相关福利和季节性活动。

不喜欢：用户不喜欢抽奖机制的现金红包活动（如""抽现金红包""），表现为对不确定性奖励特征的回避，与点击行为中直接领取特征相反。",0,complete
