user_id,user_interest_summary,scene,data_type
645216,"喜欢：用户偏好娱乐搞笑内容，包括动物相关（如小猫、狗狗）和意外事件（如消防员处理马蜂窝、钓鱼钓到飞机），关键词涉及消防员、狗狗、小猫、钓鱼、手机；品牌偏好支付宝、小米等数字服务；使用场景为移动浏览休闲内容（基于点击商品和搜索关键词如""手机""、""支付宝""）。

不喜欢：用户不感兴趣于旅游、锦鲤、游泳等平静内容（基于未点击商品""趵突泉锦鲤出游""的实体词如组团、出行、游泳）。",3,complete
778971,"### 用户兴趣偏好总结（场景3）
喜欢：用户偏好家居装修（如卫生间）和国内旅游景点（如八大景），关键词包括卫生间、国内景点；品牌涉及日常购物如沃尔玛、永辉超市；使用场景为家庭生活改善和旅游信息探索，基于点击行为和交易数据中的家居、旅游相关实体。

不喜欢：用户对阳台装修和独生子女补贴政策不感兴趣，基于未点击商品中阳台和补贴特征与点击行为（家居和旅游）相反，反映出对类似家居主题的阳台内容及金融补贴服务的回避。",3,complete
1227097,"喜欢：该用户偏好娱乐内容品类，特别是宠物相关（如母猫）和家庭生活主题（如孩子、妈妈），关键词包括幽默轶事、洗澡、接住；品牌方面常用支付宝、饿了么；使用场景涉及在线视频观看、外卖点餐（如饿了么平台）、理财管理（如余额宝、花呗）。

不喜欢：基于未点击商品，用户不感兴趣于负面事件主题，如安全风险（看手机骑行摔倒）或工作变化（旅游景区投喂），关键词包括带娃、骑行、投喂。",3,complete
110533,"### 用户兴趣偏好总结（场景3）

喜欢：该用户偏好家常食品品类，如素食和馒头制品（如煎馒头片、素菜），关键词包括""好吃的""、""酥""等，品牌涉及FamilyMart，使用场景主要为早餐和家庭日常用餐（基于点击商品标题和实体词，结合交易行为中的""早饭""、""下饭菜""、""配粥""等特征）。

不喜欢：基于未点击商品中与点击行为相反的特征，用户不喜欢肉类菜肴（如洋葱炒牛肉）和针对儿童的食品（如早餐饼），这与点击的素食偏好形成对比（从未点击商品标题和实体词""洋葱炒牛肉""、""家常菜""、""小孩子""、""早餐饼""推断）。",3,complete
1650741,"喜欢：该用户偏好休闲娱乐内容，如宠物（哈士奇）、时事新闻（印度火箭、经济崛起）、幽默故事（孙悟空投喂）和情感话题（相遇、小时候）；偏好品类包括食品（水果、草莓、咖啡、牛奶）和日常消费；关键词涉及哈士奇、孙悟空、经济、崛起；品牌如农夫山泉、oreo、七匹狼；使用场景为日常购物（生鲜超市、便利店）、支付宝服务（芭芭农场、公益捐步）和在线阅读（社交媒体标题）。

不喜欢：该用户不喜欢工作相关主题，如五险一金、打工等严肃内容，与点击行为中休闲娱乐偏好相反。",3,complete
1518364,"### 用户兴趣偏好总结（场景3）
喜欢：用户偏好食品品类，特别是家常菜和简单食谱（如韭菜鸡蛋饼、青椒酿肉、凉拌面）；关键词包括""好吃""、""下饭""、""营养""、""早餐""；品牌涉及苹果（在食物上下文如苹果派）和支付宝（服务使用）；使用场景聚焦家庭烹饪、日常饮食、夏季凉菜和儿童餐准备。

不喜欢：用户不喜欢非烹饪相关话题，如金融保险（车贷、五险一金）和抽象内容（车上图案），基于未点击行为与点击食物特征相反。",3,complete
994241,"### 用户兴趣偏好总结（场景3）
喜欢：用户偏好宠物相关品类（如猫咪、狗、大熊猫），关键词包括动物行为、仙境旅游、家庭生活（如妈妈、娃娃）和公益实验，品牌如星巴克、瑞幸咖啡、支付宝和美团，使用场景涉及休闲娱乐（如桌游、聚会）、日常消费（外卖、打车）和公益捐赠（如蚂蚁庄园）。  
不喜欢：用户不喜欢医疗主题（如医院场景）、工作压力内容（如工资讨论）以及无聊的动物或旅游主题（如锦鲤、游泳）。",3,complete
115823,"### 用户兴趣偏好总结（场景3）
喜欢：偏好品类包括家居改进（如卫生间设计、卧室收纳）、旅游探索（如中国景点、城市主题）、健康生活（锻炼操）；关键词如设计、收纳、卫生间、旅行、中国相关；品牌如饿了么（外卖服务）、支付宝（支付工具）；使用场景为家庭日常优化、健康维护、社会新闻观察。  
不喜欢：基于未点击商品特征，不喜欢内容如纯美景宣传（最美县城、名山排行榜）、医疗事件（医院扎针），与点击的实用或争议主题相反。",3,complete
478296,"喜欢：偏好宠物动物内容，特别是猫咪、大熊猫和狗狗相关的搞笑可爱视频；关键词包括猫咪、土豆、大熊猫、回家；品牌无明显偏好（基于点击内容）；使用场景为休闲娱乐和家庭观看，如观看动物搞笑视频或日常互动。

不喜欢：恐怖或诡异主题的内容（如“双马尾”或“波士顿龙虾”），以及非娱乐性的动物表演（如“舞狮”）或技术艺术类视频（如“技术”或“艺术”），与点击的可爱动物搞笑风格相反。",3,complete
663951,"喜欢：用户偏好娱乐和新闻类内容，包括家庭幽默（如萌娃和狗相关故事）、国际政治（如中美关系主题）、旅游评论（如国内景点分析）以及健康话题；关键词涵盖萌娃、狗、中国、美国、景点等；品牌方面对喜茶有搜索兴趣；使用场景涉及在线浏览（如支付宝服务、电影购票、公益参与）和日常消费（如餐饮小吃、零食支付，基于交易实体如美团、呷哺呷哺、便利蜂）。

不喜欢：用户不感兴趣于个人财务话题（如社保查询，基于未点击实体""社会保障,多少""）和混合虚构元素的国际政治内容（如未点击标题中""我纯阳之体开局娶画皮新娘""的娱乐化表述，与点击的严肃国际主题形成对比）。",3,complete
